SampleSize,BirdID,Survival,BeakDepth
Five,12,nonsurvivor,7.52
Five,347,nonsurvivor,9.31
Five,413,nonsurvivor,8.2
Five,522,nonsurvivor,8.39
Five,609,nonsurvivor,10.5
Five,943,survivor,9.1
Five,1643,survivor,8.8
Five,1884,survivor,9.15
Five,2244,survivor,11.01
Five,8191,survivor,10.86
Fifteen,283,nonsurvivor,11.2
Fifteen,288,nonsurvivor,9.1
Fifteen,294,nonsurvivor,10.5
Fifteen,315,nonsurvivor,8.8
Fifteen,321,nonsurvivor,8.48
Fifteen,352,nonsurvivor,7.7
Fifteen,413,nonsurvivor,8.2
Fifteen,468,nonsurvivor,9.02
Fifteen,503,nonsurvivor,9.1
Fifteen,507,nonsurvivor,8.85
Fifteen,561,nonsurvivor,10.2
Fifteen,610,nonsurvivor,9
Fifteen,619,nonsurvivor,9.25
Fifteen,621,nonsurvivor,7.6
Fifteen,676,nonsurvivor,9.7
Fifteen,316,survivor,9.85
Fifteen,623,survivor,8.8
Fifteen,673,survivor,10.1
Fifteen,678,survivor,9.7
Fifteen,891,survivor,8
Fifteen,1019,survivor,11.21
Fifteen,1477,survivor,10.1
Fifteen,1528,survivor,8.55
Fifteen,1797,survivor,9.31
Fifteen,1850,survivor,10.4
Fifteen,1884,survivor,9.15
Fifteen,2242,survivor,9.45
Fifteen,2378,survivor,9.86
Fifteen,2249,survivor,10.68
Fifteen,2839,survivor,8.31
